,NAME,ZCTA,ZIP_TYPE,zip_join_type,PO_NAME,STATE,S1903_C03_015E,S1903_C03_034E
7822,ZCTA5 20057,20057,Zip Code Area,Zip matches ZCTA,Washington,DC,0,0
7823,ZCTA5 20064,20064,Zip Code Area,Zip matches ZCTA,Washington,DC,0,0
7824,ZCTA5 20105,20105,Zip Code Area,Zip matches ZCTA,Aldie,VA,179417,100769
7825,ZCTA5 20106,20106,Zip Code Area,Zip matches ZCTA,Amissville,VA,111094,57083
7826,ZCTA5 20106,20106,Post Office or large volume customer,Spatial join to ZCTA,Viewtown,VA,111094,57083
7827,ZCTA5 20109,20109,Zip Code Area,Zip matches ZCTA,Manassas,VA,77261,61974
7828,ZCTA5 20110,20110,Post Office or large volume customer,Spatial join to ZCTA,Manassas,VA,98172,54370
7829,ZCTA5 20110,20110,Zip Code Area,Zip matches ZCTA,Manassas,VA,98172,54370
7830,ZCTA5 20111,20111,Zip Code Area,Zip matches ZCTA,Manassas,VA,100575,56571
7831,ZCTA5 20111,20111,Post Office or large volume customer,Spatial join to ZCTA,Manassas,VA,100575,56571
7832,ZCTA5 20112,20112,Zip Code Area,Zip matches ZCTA,Manassas,VA,163506,92989
7833,ZCTA5 20115,20115,Zip Code Area,Zip matches ZCTA,Marshall,VA,148258,47194
7834,ZCTA5 20115,20115,Post Office or large volume customer,Spatial join to ZCTA,Marshall,VA,148258,47194
7835,ZCTA5 20115,20115,Post Office or large volume customer,Spatial join to ZCTA,Orlean,VA,148258,47194
7836,ZCTA5 20115,20115,Post Office or large volume customer,Spatial join to ZCTA,Rectortown,VA,148258,47194
7837,ZCTA5 20117,20117,Zip Code Area,Zip matches ZCTA,Middleburg,VA,144063,91189
7838,ZCTA5 20118,20118,Post Office or large volume customer,Zip matches ZCTA,Middleburg,VA,0,0
7839,ZCTA5 20119,20119,Zip Code Area,Zip matches ZCTA,Catlett,VA,145052,40119
7840,ZCTA5 20119,20119,Post Office or large volume customer,Spatial join to ZCTA,Calverton,VA,145052,40119
7841,ZCTA5 20120,20120,Zip Code Area,Zip matches ZCTA,Centreville,VA,141957,83460
7842,ZCTA5 20120,20120,Post Office or large volume customer,Spatial join to ZCTA,Centreville,VA,141957,83460
7843,ZCTA5 20121,20121,Zip Code Area,Zip matches ZCTA,Centreville,VA,116781,85806
7844,ZCTA5 20124,20124,Zip Code Area,Zip matches ZCTA,Clifton,VA,205995,103563
7845,ZCTA5 20129,20129,Zip Code Area,Zip matches ZCTA,Paeonian Springs,VA,250000,0
7846,ZCTA5 20130,20130,Zip Code Area,Zip matches ZCTA,Paris,VA,97875,60852
7847,ZCTA5 20132,20132,Post Office or large volume customer,Spatial join to ZCTA,Philomont,VA,159284,74286
7848,ZCTA5 20132,20132,Zip Code Area,Zip matches ZCTA,Purcellville,VA,159284,74286
7849,ZCTA5 20132,20132,Post Office or large volume customer,Spatial join to ZCTA,Purcellville,VA,159284,74286
7850,ZCTA5 20132,20132,Post Office or large volume customer,Spatial join to ZCTA,Lincoln,VA,159284,74286
7851,ZCTA5 20135,20135,Zip Code Area,Zip matches ZCTA,Bluemont,VA,106429,70431
7852,ZCTA5 20136,20136,Zip Code Area,Zip matches ZCTA,Bristow,VA,153756,101920
7853,ZCTA5 20137,20137,Zip Code Area,Zip matches ZCTA,Broad Run,VA,124137,0
7854,ZCTA5 20139,20139,Post Office or large volume customer,Zip matches ZCTA,Casanova,VA,86201,0
7855,ZCTA5 20141,20141,Zip Code Area,Zip matches ZCTA,Round Hill,VA,171354,74107
7856,ZCTA5 20141,20141,Post Office or large volume customer,Spatial join to ZCTA,Round Hill,VA,171354,74107
7857,ZCTA5 20143,20143,Zip Code Area,Zip matches ZCTA,Catharpin,VA,161548,44750
7858,ZCTA5 20144,20144,Zip Code Area,Zip matches ZCTA,Delaplane,VA,157944,60175
7859,ZCTA5 20147,20147,Post Office or large volume customer,Spatial join to ZCTA,Ashburn,VA,162588,79902
7860,ZCTA5 20147,20147,Zip Code Area,Zip matches ZCTA,Ashburn,VA,162588,79902
7861,ZCTA5 20147,20147,Post Office or large volume customer,Spatial join to ZCTA,Ashburn,VA,162588,79902
7862,ZCTA5 20148,20148,Zip Code Area,Zip matches ZCTA,Ashburn,VA,199297,106475
7863,ZCTA5 20151,20151,Zip Code Area,Spatial join to ZCTA,Washington,VA,142202,80176
7864,ZCTA5 20151,20151,Zip Code Area,Zip matches ZCTA,Chantilly,VA,142202,80176
7865,ZCTA5 20151,20151,Post Office or large volume customer,Spatial join to ZCTA,Chantilly,VA,142202,80176
7866,ZCTA5 20152,20152,Zip Code Area,Zip matches ZCTA,Chantilly,VA,181376,104200
7867,ZCTA5 20155,20155,Zip Code Area,Zip matches ZCTA,Gainesville,VA,138316,80000
7868,ZCTA5 20155,20155,Post Office or large volume customer,Spatial join to ZCTA,Gainesville,VA,138316,80000
7869,ZCTA5 20158,20158,Zip Code Area,Zip matches ZCTA,Hamilton,VA,180286,68958
7870,ZCTA5 20158,20158,Post Office or large volume customer,Spatial join to ZCTA,Hamilton,VA,180286,68958
